"","Road","Description","LRP.start","Offset.start","Chainage.start","LRP.end","Offset.end","Chainage.end","Length (km)","Heavy Truck","Medium Truck","Small Truck","Large Bus","Medium Bus","Micro Bus","Utility","Car","Auto Rickshaw","Motor Cycle","Bi-Cycle","Cycle Rickshaw","Cart","Motorized","Non Motorized","Total AADT","Road Code","Segment","Side","PCE"
"1","N1","Jatrabari - Int.with Z1101 (Left) (Left)","LRPS","0","0","LRPS","822","0.822","0.822","402.0","5842.0","1147.0","2842.0","526.0","2010.0","238.0","1851.0","2980.0","398.0","232.0","889.0","0.0","18236.0","1121.0","19357.0","N1-1L","1","L",36445.136
"2","N1","Jatrabari - Int.with Z1101 (Left) (Right)","LRPS","0","0","LRPS","822","0.822","0.822","660.0","6155.0","1554.0","2744.0","971.0","2120.0","480.0","2608.0","2508.0","436.0","213.0","1088.0","0.0","20236.0","1301.0","21537.0","N1-1R","1","R",40351.116
"3","N1","Int.with Z1101 - Signboard (Left) R111 (Left)","LRPS","822","0.822","LRPS","4175","4.175","3.353","660.0","6155.0","1554.0","2744.0","971.0","2120.0","480.0","2608.0","2508.0","436.0","213.0","1088.0","0.0","20236.0","1301.0","21537.0","N1-2L","2","L",40351.116
"4","N1","Int.with Z1101 - Signboard (Left) R111 (Right)","LRPS","822","0.822","LRPS","4175","4.175","3.353","402.0","5842.0","1147.0","2842.0","526.0","2010.0","238.0","1851.0","2980.0","398.0","232.0","889.0","0.0","18236.0","1121.0","19357.0","N1-2R","2","R",36445.136
"5","N1","Signboard - Shimrail (Left)R110 (Left)","LRPS","4175","4.175","LRPS","7181","7.181","3.006","91.0","2706.0","2184.0","2534.0","1773.0","1643.0","314.0","1690.0","2266.0","1087.0","75.0","1198.0","0.0","16288.0","1273.0","17561.0","N1-3L","3","L",30235.244
"6","N1","Signboard - Shimrail (Left)R110 (Right)","LRPS","4175","4.175","LRPS","7181","7.181","3.006","85.0","2544.0","2053.0","2412.0","1688.0","1564.0","298.0","1609.0","2157.0","1035.0","72.0","1140.0","0.0","15445.0","1212.0","16657.0","N1-3R","3","R",28674.172
"7","N1","Shimrail  - Katchpur  (Left)N2 (Left)","LRPS","7181","7.181","LRP009","260","8.763","1.582","174.0","2905.0","1360.0","2576.0","1356.0","1415.0","320.0","1579.0","3154.0","1162.0","211.0","1077.0","0.0","16001.0","1288.0","17289.0","N1-4L","4","L",29168.156
"8","N1","Shimrail  - Katchpur  (Left)N2 (Right)","LRPS","7181","7.181","LRP009","260","8.763","1.582","153.0","2955.0","1566.0","2438.0","1456.0","1299.0","345.0","1948.0","2693.0","1143.0","517.0","1531.0","0.0","15996.0","2048.0","18044.0","N1-4R","4","R",29513.672
"9","N1","Katchpur - Madanpur (Left)N105 (Left)","LRP009","260","8.763","LRP012","439","11.936","3.173","174.0","4965.0","3478.0","3296.0","2791.0","1751.0","249.0","1579.0","3154.0","1154.0","211.0","1077.0","0.0","22591.0","1288.0","23879.0","N1-5L","5","L",42790.504
"10","N1","Katchpur - Madanpur (Left)N105 (Right)","LRP009","260","8.763","LRP012","439","11.936","3.173","153.0","4419.0","3221.0","2880.0","2408.0","2787.0","345.0","2105.0","3080.0","1143.0","517.0","1531.0","0.0","22541.0","2048.0","24589.0","N1-5R","5","R",42514.864
